"study","pvalue","absolute_zscore"
"On the relative independence of thinking biases and cognitive ability.",0.331896286,0.970301387275772
"Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.",0.48458607,0.698945533571724
"Distinguishing between silent and vocal minorities: Not all deviants feel marginal.",0.028459737,2.19089022886445
"Dynamics of self-regulation: How (un) accomplished goal actions affect motivation.",0.758,0.308108202447355
"A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.",0.233830099,1.19055048687208
"The face of success: inferences from chief executive officers' appearance predict company profits.",0.086,1.71688601843104
"Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.",0.007708395,2.66458252694147
"The space between us: Stereotype threat and distance in interracial contexts.",0.929110139,0.0889644800041973
"Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?",0.881922196,0.148532934806459
"Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.",0.2649653,1.11473196233557
"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",0.023531668,2.26469067693587
"Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.",0.154430586,1.42405488065962
"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).",0.533880559,0.622093241152896
"More than meets the eye: the role of language in binding and maintaining feature conjunctions.",0.132031044,1.50614075625271
"Nonconscious goal pursuit in novel environments: The case of implicit learning.",0.189435742,1.31225016147814
"Perceptual mechanisms that characterize gender differences in decoding women's sexual intent",0.277177119,1.08668257148116
"Precision of the anchor influences the amount of adjustment.",0.013965691,2.45814465084403
"Action dynamics reveal parallel competition in decision making",0.007800372,2.66059067892589
"Prescribed optimism: Is it right to be wrong about the future?",4.59e-35,12.3547817748125
"Age-related changes in the episodic simulation of future events",5.14e-05,4.04916817449069
"Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?",0.191700924,1.3055638397862
"Measuring the crowd within: Probabilistic representations within individuals.",9.5e-05,3.90301961601024
"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.",0.539024693,0.614288511334687
"Errors Are Aversive: Defensive Motivation and the Error-Related Negativity",0.106230062,1.61537245306213
"The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry)",2.82e-08,5.55225983800713
"The representation of simple ensemble visual features outside the focus of attention",4.9e-08,5.45490149885657
"Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.",0.778156632,0.281722067706529
"A motion aftereffect from still photographs depicting motion",0.004708112,2.82635455208839
"The threat of appearing prejudiced and race-based attentional biases.",0.887981301,0.140859039733033
"Adaptive memory: The comparative value of survival processing.",0.007242548,2.68548105764984
"Is happiness having what you want, wanting what you have, or both?",2.41e-16,8.19969385033067
"Implicit attitude generalization occurs immediately; explicit attitude generalization takes time",3.14e-10,6.29170390531937
"The value of believing in free will: Encouraging a belief in determinism increases cheating.",0.444536036,0.764555903155421
"ñIn_Group Loveî and ñOut_Group Hateî as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm",8.85e-06,4.44351738904694
"A word-order constraint on phonological activation",0.083950437,1.72821080649205
"The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",0.627520896,0.485219154730905
"The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",0.74612573,0.323752091034556
"Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field",0.380003702,0.877889474007325
"With a clean conscience: Cleanliness reduces the severity of moral judgments.",0.974823723,0.031559021756101
"Extremal edge: a powerful cue to depth perception and figure-ground organization",0.758308044,0.30770338469259
"What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness",0.690466537,0.398222018317202
"Personality dominance and preferential use of the vertical dimension of space",0.777533992,0.282534114536181
"Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.",3.46e-05,4.14086404664154
"Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.",0.237041962,1.18241276158233
"The value heuristic in judgments of relative frequency.",0.210207014,1.25299640781714
"Head up, foot down: Object words orient attention to the objects' typical location.",0.241925362,1.17018789777387
